AL	AP	DAL	StartOffset	EndOffset	LAAL	NumChunks	RTF
1968.552	0.301	1968.552	1968.552	-214.85	1968.552	1.0	0.902
1968.63	0.319	1968.63	1968.63	-87.062	1968.63	1.0	0.958
1971.414	0.215	1971.414	1971.414	-316.477	1971.414	1.0	0.862
1967.424	0.334	1967.424	1967.424	4.612	1967.424	1.0	1.002
1967.832	0.213	1967.832	1967.832	-343.279	1967.832	1.0	0.851
1965.81	0.196	1965.81	1965.81	-544.077	1965.81	1.0	0.783
1967.208	0.315	1967.208	1967.208	-111.703	1967.208	1.0	0.946
1965.958	0.313	1965.958	1965.958	-125.969	1965.958	1.0	0.94
1968.747	0.307	1968.747	1968.747	-168.215	1968.747	1.0	0.921
1964.841	0.213	1964.841	1964.841	-346.27	1964.841	1.0	0.85
1962.787	0.292	1962.787	1962.787	-278.664	1962.787	1.0	0.876
1969.161	0.334	1969.161	1969.161	6.349	1969.161	1.0	1.003
1969.933	0.337	1969.933	1969.933	18.731	1969.933	1.0	1.01
1967.795	0.307	1967.795	1967.795	-169.167	1967.795	1.0	0.921
1969.2	0.188	1969.2	1969.2	-655.381	1969.2	1.0	0.75
1967.046	0.145	1967.046	1967.046	-738.804	1967.046	1.0	0.727
1965.02	0.281	1965.02	1965.02	-369.311	1965.02	1.0	0.842
1664.725	0.516	1664.725	1664.725	50.212	1664.725	1.0	1.031
1965.781	0.094	1965.781	1965.781	-1030.319	1965.781	1.0	0.656
1962.225	0.062	1962.225	1962.225	-1997.503	1962.225	1.0	0.496
1886.209	0.34	1886.209	1886.209	39.497	1886.209	1.0	1.021
1960.394	0.279	1960.394	1960.394	-385.547	1960.394	1.0	0.836
1970.244	0.235	1970.244	1970.244	-121.683	1970.244	1.0	0.942
1691.764	0.513	1691.764	1691.764	42.422	1691.764	1.0	1.026
1969.312	0.293	1969.312	1969.312	-272.139	1969.312	1.0	0.879
1959.617	0.06	1959.617	1959.617	-2127.821	1959.617	1.0	0.479
1775.999	0.513	1775.999	1775.999	45.387	1775.999	1.0	1.026
1968.919	0.15	1968.919	1968.919	-655.662	1968.919	1.0	0.75
1963.469	0.145	1963.469	1963.469	-742.381	1963.469	1.0	0.726
1601.115	0.514	1601.115	1601.115	44.652	1601.115	1.0	1.029
1966.422	0.035	1966.422	1966.422	-3653.533	1966.422	1.0	0.35
1565.574	0.514	1565.574	1565.574	43.942	1565.574	1.0	1.029
1964.202	0.278	1964.202	1964.202	-393.349	1964.202	1.0	0.833
1966.342	0.264	1966.342	1966.342	-518.919	1966.342	1.0	0.791
1865.823	0.512	1865.823	1865.823	42.331	1865.823	1.0	1.023
1965.669	0.1	1965.669	1965.669	-1320.68	1965.669	1.0	0.598
1966.852	0.163	1966.852	1966.852	-448.749	1966.852	1.0	0.814
1968.13	0.242	1968.13	1968.13	-64.342	1968.13	1.0	0.968
1967.619	0.319	1967.619	1967.619	-88.073	1967.619	1.0	0.957
1965.582	0.342	1965.582	1965.582	49.21	1965.582	1.0	1.026
1822.439	0.512	1822.439	1822.439	43.981	1822.439	1.0	1.025
1961.851	0.053	1961.851	1961.851	-2671.256	1961.851	1.0	0.423
1971.979	0.136	1971.979	1971.979	-1662.669	1971.979	1.0	0.543
1966.128	0.088	1966.128	1966.128	-1749.79	1966.128	1.0	0.529
1963.862	0.322	1963.862	1963.862	-68.61	1963.862	1.0	0.966
1965.682	0.177	1965.682	1965.682	-809.828	1965.682	1.0	0.708
1970.905	0.089	1970.905	1970.905	-1733.403	1970.905	1.0	0.532
1536.185	0.517	1536.185	1536.185	49.382	1536.185	1.0	1.033
1633.946	0.513	1633.946	1633.946	42.653	1633.946	1.0	1.027
1960.861	0.176	1960.861	1960.861	-826.259	1960.861	1.0	0.704
1963.303	0.083	1963.303	1963.303	-1984.815	1963.303	1.0	0.497
1965.233	0.111	1965.233	1965.233	-1589.551	1965.233	1.0	0.553
1968.128	0.061	1968.128	1968.128	-2641.759	1968.128	1.0	0.427
1960.527	0.079	1960.527	1960.527	-2184.96	1960.527	1.0	0.473
1965.798	0.08	1965.798	1965.798	-2133.249	1965.798	1.0	0.48
1964.848	0.063	1964.848	1964.848	-2459.279	1964.848	1.0	0.444
1963.568	0.054	1963.568	1963.568	-3215.208	1963.568	1.0	0.379
1967.223	0.054	1967.223	1967.223	-2549.784	1967.223	1.0	0.436
1960.546	0.488	1960.546	1960.546	-48.706	1960.546	1.0	0.976
1965.346	0.145	1965.346	1965.346	-740.504	1965.346	1.0	0.726
1968.471	0.133	1968.471	1968.471	-992.799	1968.471	1.0	0.665
1969.331	0.078	1969.331	1969.331	-2245.816	1969.331	1.0	0.467
1964.174	0.214	1964.174	1964.174	-1089.976	1964.174	1.0	0.643
							
1818.189	0.343	1818.189	1818.189	52.747	1818.189	1.0	1.03
1969.806	0.304	1969.806	1969.806	-190.375	1969.806	1.0	0.912
1903.576	0.512	1903.576	1903.576	45.254	1903.576	1.0	1.024
1961.199	0.234	1961.199	1961.199	-130.728	1961.199	1.0	0.938
1965.667	0.109	1965.667	1965.667	-1634.151	1965.667	1.0	0.546
1967.14	0.125	1967.14	1967.14	-1179.89	1967.14	1.0	0.625
1975.164	0.122	1975.164	1975.164	-1253.135	1975.164	1.0	0.612
1972.603	0.163	1972.603	1972.603	-1046.716	1972.603	1.0	0.653
1972.507	0.05	1972.507	1972.507	-2370.35	1972.507	1.0	0.454
1968.995	0.231	1968.995	1968.995	-876.175	1968.995	1.0	0.692
1963.746	0.062	1963.746	1963.746	-2008.998	1963.746	1.0	0.494
1962.187	0.075	1962.187	1962.187	-1300.942	1962.187	1.0	0.601
1963.069	0.137	1963.069	1963.069	-1625.14	1963.069	1.0	0.547
1965.296	0.206	1965.296	1965.296	-415.475	1965.296	1.0	0.825
							
							
1891.102	0.512	1891.102	1891.102	44.39	1891.102	1.0	1.024
1962.141	0.494	1962.141	1962.141	-25.297	1962.141	1.0	0.987
1775.309	0.513	1775.309	1775.309	44.697	1775.309	1.0	1.026
