AL	AP	DAL	StartOffset	EndOffset	LAAL	NumChunks	DiscontinuitySum	DiscontinuityAve	DiscontinuityNum	RTF
2091.46	0.323	2011.503	2011.503	580.0	2091.46	2	157.551	157.551	1	1.246
2135.187	0.384	2017.709	2017.709	900.0	2135.187	2	305.261	305.261	1	1.362
1955.866	0.536	1955.866	1955.866	820.0	1955.866	1	0.0	0.0	0	1.45
2030.339	0.197	1443.491	1026.719	340.0	2030.339	2	2026.349	2026.349	1	1.103
1634.304	0.214	1202.947	1016.233	560.0	1634.304	2	1195.601	1195.601	1	1.232
1359.172	0.397	1105.113	1021.399	300.0	1359.172	2	792.472	792.472	1	1.148
1922.053	0.414	2007.385	2007.385	744.308	1922.053	2	0.0	0.0	0	1.362
1367.735	0.325	1080.279	1029.708	360.0	1367.735	2	656.372	656.372	1	1.188
1281.577	0.423	1059.27	1024.681	460.0	1281.577	2	538.458	538.458	1	1.259
2763.282	0.129	1836.661	1025.378	800.0	2763.282	2	3413.107	3413.107	1	1.173
2674.32	0.334	2129.122	2100.677	360.0	2674.32	2	1454.649	1454.649	1	1.099
2247.64	0.193	1584.083	1042.757	540.0	2247.64	2	2475.918	2475.918	1	1.145
1954.172	0.425	2027.427	2027.427	767.528	1954.172	2	0.0	0.0	0	1.378
2318.633	0.306	2032.659	2032.659	720.0	2318.633	2	355.51	355.51	1	1.259
2118.336	0.269	1562.69	1034.712	160.0	2118.336	2	2484.308	2484.308	1	1.043
1702.59	0.573	1702.59	1702.59	760.0	1702.59	1	0.0	0.0	0	1.511
1051.852	0.911	1051.852	1039.594	260.0	1051.852	2	371.293	371.293	1	1.163
2217.612	0.46	2051.025	2051.025	800.0	2217.612	2	547.12	547.12	1	1.287
1660.407	0.671	1660.407	1025.985	680.0	1660.407	2	2708.118	2708.118	1	1.172
2590.735	0.332	2057.517	2032.068	560.0	2590.735	2	1334.785	1334.785	1	1.158
3244.733	0.192	2380.38	2022.848	1360.0	3244.733	2	2409.887	2409.887	1	1.295
2969.005	0.225	2228.739	2025.486	1020.0	2969.005	2	1905.488	1905.488	1	1.246
3003.109	0.199	2234.537	2043.768	560.0	3003.109	2	1839.048	1839.048	1	1.137
3124.124	0.192	2294.6	2018.522	940.0	3124.124	2	2184.127	2184.127	1	1.212
3503.231	0.163	2496.247	2018.289	860.0	3503.231	2	2978.776	2978.776	1	1.166
2690.446	0.129	1787.044	1032.248	360.0	2690.446	2	3197.007	3197.007	1	1.08
1278.044	0.535	1110.606	1026.478	260.0	1278.044	2	769.252	769.252	1	1.129
1704.121	0.292	1298.243	1021.117	740.0	1704.121	2	1545.85	1545.85	1	1.273
1817.311	0.285	1373.12	1031.437	200.0	1817.311	2	1641.27	1641.27	1	1.068
2550.257	0.147	1730.645	1028.438	780.0	2550.257	2	2915.147	2915.147	1	1.185
3274.359	0.357	3274.359	3274.359	580.0	3274.359	1	0.0	0.0	0	1.19
597.714	2.142	1035.126	1035.126	372.971	859.472	2	0.0	0.0	0	1.356
1881.771	0.355	1881.771	1881.771	560.0	1881.771	1	0.0	0.0	0	1.317
1898.712	0.502	2004.338	2004.338	260.0	1898.712	2	40.181	40.181	1	1.12
1079.311	0.831	1079.311	1031.23	520.0	1079.311	2	598.322	598.322	1	1.28
2003.38	0.347	2030.718	2030.718	688.073	2003.38	2	0.0	0.0	0	1.329
2676.903	0.233	2034.078	2022.408	240.0	2676.903	2	1379.819	1379.819	1	1.067
2489.765	0.246	2007.859	2007.859	800.0	2489.765	2	887.029	887.029	1	1.254
2477.369	0.284	2019.006	2019.006	600.0	2477.369	2	1048.299	1048.299	1	1.186
2307.631	0.445	2013.974	2013.974	900.0	2307.631	2	839.32	839.32	1	1.298
3175.141	0.118	2256.46	2013.061	760.0	3175.141	2	2122.857	2122.857	1	1.175
1573.354	0.48	1336.256	1042.157	180.0	1573.354	2	1505.17	1505.17	1	1.063
2954.35	0.131	2126.695	2010.073	120.0	2954.35	2	1772.744	1772.744	1	1.03
2555.639	0.211	2009.775	2009.775	460.0	2555.639	2	1043.129	1043.129	1	1.141
1990.297	0.34	1541.771	1030.984	600.0	1990.297	2	2288.209	2288.209	1	1.167
1425.735	0.51	1227.338	1029.504	540.0	1425.735	2	1060.771	1060.771	1	1.227
618.839	2.146	1040.277	1040.277	359.546	888.952	2	0.0	0.0	0	1.333
633.774	1.992	1033.689	1033.689	760.0	953.23	2	17.823	17.823	1	1.595
1053.899	0.821	1053.899	1021.784	440.0	1053.899	2	626.712	626.712	1	1.238
1160.185	0.834	1160.185	1026.089	1360.0	1160.185	2	707.438	707.438	1	1.684
1171.663	0.562	1027.446	1027.119	400.0	1171.663	2	490.612	490.612	1	1.231
1101.46	0.586	1018.775	1018.775	540.0	1101.46	2	384.853	384.853	1	1.35
1807.607	0.544	1807.607	1807.607	900.0	1807.607	1	0.0	0.0	0	1.542
1675.652	0.564	1675.652	1675.652	1200.0	1675.652	1	0.0	0.0	0	1.807
593.809	1.763	1021.409	1021.409	520.0	982.924	2	336.463	336.463	1	1.334
629.347	2.106	1026.514	1026.514	961.497	913.973	2	0.0	0.0	0	1.845
1425.341	0.538	1425.341	1425.341	540.0	1425.341	1	0.0	0.0	0	1.408
594.895	1.975	1032.417	1032.417	340.227	899.838	2	0.0	0.0	0	1.279
2379.918	0.291	2008.486	2008.486	480.0	2379.918	2	859.32	859.32	1	1.159
3376.388	0.148	2398.683	2011.395	620.0	3376.388	2	2688.526	2688.526	1	1.127
2015.398	1.07	2015.398	2015.398	1105.578	2015.398	2	0.0	0.0	0	1.56
2635.272	0.204	2001.243	2001.243	300.0	2635.272	2	1275.329	1275.329	1	1.086
2906.657	0.115	2095.462	2012.384	860.0	2906.657	2	1585.578	1585.578	1	1.227
957.186	0.96	1022.649	1022.649	900.0	957.186	2	147.483	147.483	1	1.668
1618.963	0.303	1249.657	1022.971	900.0	1618.963	2	1242.041	1242.041	1	1.366
2554.127	0.211	2009.755	2009.755	460.0	2554.127	2	1043.129	1043.129	1	1.141
2561.214	0.191	2016.557	2016.557	620.0	2561.214	2	1013.469	1013.469	1	1.194
2811.674	0.199	2093.171	2022.36	460.0	2811.674	2	1572.018	1572.018	1	1.12
1361.397	1.127	1361.397	1361.397	1020.0	1361.397	1	0.0	0.0	0	1.844
1131.25	1.08	1131.25	1131.25	200.0	1131.25	1	0.0	0.0	0	1.191
1357.293	1.081	1357.293	1357.293	540.0	1357.293	1	0.0	0.0	0	1.43
2113.176	0.282	2015.009	2015.009	640.0	2113.176	2	111.111	111.111	1	1.277
